statement,explanation,label,input_text
I sting a mosquito,A human is a mammal,0,I sting a mosquito A human is a mammal
I sting a mosquito,A human is omnivorous,0,I sting a mosquito A human is omnivorous
I sting a mosquito,A human has not stings,1,I sting a mosquito A human has not stings
A giraffe is a person.,Giraffes can drink water from a lake.,0,A giraffe is a person. Giraffes can drink water from a lake.
A giraffe is a person.,A giraffe is not a human being.,1,A giraffe is a person. A giraffe is not a human being.
A giraffe is a person.,.Giraffes usually eat leaves.,0,A giraffe is a person. .Giraffes usually eat leaves.
A normal closet is larger than a walk-in closet.,Walk-in closets are normal closets.,0,A normal closet is larger than a walk-in closet. Walk-in closets are normal closets.
A normal closet is larger than a walk-in closet.,A person can sleep in a walk-in closet.,0,A normal closet is larger than a walk-in closet. A person can sleep in a walk-in closet.
A normal closet is larger than a walk-in closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,1,A normal closet is larger than a walk-in closet. A person cannot walk into a normal closet because it is smaller than a walk-in closet.
I like to ride my chocolate,Chocolate is delicious and bikes are not,0,I like to ride my chocolate Chocolate is delicious and bikes are not
I like to ride my chocolate,"Chocolate is a food, not a transportation unit",1,"I like to ride my chocolate Chocolate is a food, not a transportation unit"
I like to ride my chocolate,My bike can't ride a chocolate,0,I like to ride my chocolate My bike can't ride a chocolate
A GIRL WON THE RACE WITH HORSE,GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE,0,A GIRL WON THE RACE WITH HORSE GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE
A GIRL WON THE RACE WITH HORSE,THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .,0,A GIRL WON THE RACE WITH HORSE THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .
A GIRL WON THE RACE WITH HORSE,HORSE RAN FASTER THAN HER,1,A GIRL WON THE RACE WITH HORSE HORSE RAN FASTER THAN HER
he put elephant into the jug,elephants is an animal and jug is a thing,0,he put elephant into the jug elephants is an animal and jug is a thing
he put elephant into the jug,a jug is so small than an elephant,1,he put elephant into the jug a jug is so small than an elephant
he put elephant into the jug,jug is used for store things,0,he put elephant into the jug jug is used for store things
A dog plays volleyball,Only humans play volleyball,1,A dog plays volleyball Only humans play volleyball
